time,current_q,ref_q_current,predicted_ca_cb_at_tau,true_ca_cb_at_tau,selected_tau,r2_scores
3.46666666632,[25.081738420834164],[25.081738420834164],"[160.85570210361482, 179.9100058023005]","[163.98517306460448, 176.01482693539552]",1,{'1': -2.7215088125459}
3.49999999965,[25.07815187260537],[25.07815187260537],"[174.7490538725084, 170.38484559971565]","[163.0581231673187, 176.9418768326813]",1,{'1': -2.6001112668189275}
3.53333333298,[25.068275944700723],[25.068275944700723],"[161.19999331656925, 182.7929403532308]","[162.23428565073638, 177.76571434926362]",1,{'1': -2.5489277444176524}
3.5666666663099997,[25.038052400604464],[25.038052400604464],"[174.1158807081501, 161.62823395550296]","[161.51025975651663, 178.48974024348334]",1,{'1': -2.565755717712298}
3.59999999964,[24.99623252893433],[24.99623252893433],"[147.0645459627485, 187.52898454759077]","[160.93928304584327, 179.06071695415673]",1,{'1': -2.5690280021014478}
3.63333333297,[24.903112686740243],[24.903112686740243],"[132.51349220389852, 203.3749882484031]","[160.3319086649622, 179.66809133503776]",1,{'1': -2.5050628727221804}
3.6666666663,[24.88175072889642],[24.88175072889642],"[126.58283159868165, 210.4987944554575]","[159.84227341531897, 180.157726584681]",1,{'1': -2.544102769384364}
3.6999999996299997,[24.850846217463957],[24.850846217463957],"[131.6052077123671, 207.43527631603678]","[159.5547967011126, 180.4452032988874]",1,{'1': -2.6674785966464842}
3.73333333296,[24.735676842472603],[24.735676842472603],"[147.98682954244794, 193.14890625616832]","[159.27459980956675, 180.72540019043325]",1,{'1': -2.8058591099283294}
3.76666666629,[24.66193554156228],[24.66193554156228],"[153.20999101993218, 188.8032775443598]","[159.1455990711019, 180.8544009288981]",1,{'1': -2.978494983162978}
3.79999999962,[24.55533428578293],[24.55533428578293],"[158.3233161735243, 184.12205860626432]","[159.4267015869011, 180.5732984130989]",1,{'1': -3.183383108177491}
3.83333333295,[24.233973059800128],[24.233973059800128],"[163.52891381836253, 178.69717126001044]","[159.80369100949878, 180.1963089905012]",1,{'1': -3.5015701225672125}
3.86666666628,[23.89044119155395],[23.89044119155395],"[169.70675043210585, 172.51773352405402]","[160.72598435679777, 179.27401564320223]",1,{'1': -3.9139185951192808}
